data_month,series_id,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val,vintage_date,vintage_note
2010-01,ETRX-APPAREL,0.13344,0.161758,0.175069,5081619168,678089065,4191987186,2026-08-24,backfill
2010-01,ETRX-CA,0.000447,0.011623,0.96152,20944460864,9367370,805951179,2026-09-03,backfill
2010-01,ETRX-CA-44,0.004616,0.098793,0.953273,353137489,1630199,16501163,2026-08-24,backfill
2010-01,ETRX-CA-76,6.7e-05,0.033977,0.998041,643763668,42842,1260897,2026-08-24,backfill
2010-01,ETRX-CA-87,0.000476,0.025979,0.981686,2912157789,1385544,53333276,2026-08-24,backfill
2010-01,ETRX-CN,0.034052,0.077677,0.561629,24992029994,851016867,10955773596,2026-09-03,backfill
2010-01,ETRX-CN-84,0.003346,0.03265,0.897532,5706222485,19090466,584704173,2026-08-24,backfill
2010-01,ETRX-CN-85,0.010223,0.033805,0.697581,5865244739,59961880,1773761254,2026-08-24,backfill
2010-01,ETRX-CN-95,0.00822,0.047289,0.826172,1456513303,11972739,253183228,2026-08-24,backfill
2010-01,ETRX-EU,0.011182,0.030818,0.637166,19857020539,222035845,7204811189,2026-09-03,backfill
2010-01,ETRX-EU-87,0.022836,0.025231,0.094925,1509113422,34462619,1365860698,2026-08-24,backfill
2010-01,ETRX-IN,0.029324,0.077116,0.61974,2037103810,59736235,774629496,2026-09-03,backfill
2010-01,ETRX-JP,0.018437,0.029755,0.380383,8069986093,148783756,5000300839,2026-09-03,backfill
2010-01,ETRX-KR,0.014339,0.033411,0.570822,2953217766,42347384,1267457248,2026-09-03,backfill
2010-01,ETRX-MX,0.000957,0.030671,0.968805,15315279243,14653613,477764319,2026-09-03,backfill
2010-01,ETRX-MX-87,0.00088,0.025025,0.964816,2856982731,2515531,100520688,2026-08-24,backfill
2010-01,ETRX-PHARMA,1e-06,0.050019,0.999988,4834324994,2973,59437,2026-08-24,backfill
2010-01,ETRX-STEEL,0.006192,0.038659,0.839816,3173148715,19649706,508287174,2026-08-24,backfill
2010-01,ETRX-TW,0.017065,0.049552,0.655622,2369538186,40435338,816016054,2026-09-03,backfill
2010-01,ETRX-US,0.014026,0.047186,0.702758,130998876026,1837331727,38938317874,2026-08-24,backfill
2010-01,ETRX-US-INCL,0.013596,0.046085,0.704973,135355435193,1840335819,39933572693,2026-08-24,backfill
2010-01,ETRX-VN,0.094228,0.140422,0.328967,1128480805,106334343,757248345,2026-09-03,backfill
2010-02,ETRX-APPAREL,0.128191,0.160095,0.199284,5184042882,664545894,4150946037,2026-08-24,backfill
2010-02,ETRX-CA,0.000436,0.011969,0.963558,20386519976,8891904,742925196,2026-09-03,backfill
2010-02,ETRX-CA-44,0.00587,0.098506,0.940412,412969423,2424035,24607897,2026-08-24,backfill
2010-02,ETRX-CA-76,7.1e-05,0.035563,0.997997,551807010,39298,1105019,2026-08-24,backfill
2010-02,ETRX-CA-87,0.00034,0.025956,0.986891,3608658717,1227845,47305355,2026-08-24,backfill
2010-02,ETRX-CN,0.034252,0.076548,0.552546,23052529859,789585332,10314953116,2026-09-03,backfill
2010-02,ETRX-CN-84,0.00347,0.033212,0.89551,5428053643,18836923,567175711,2026-08-24,backfill
2010-02,ETRX-CN-85,0.011251,0.034595,0.674788,5205253847,58562261,1692812569,2026-08-24,backfill
2010-02,ETRX-CN-95,0.008777,0.04709,0.813621,1440796124,12645200,268534122,2026-08-24,backfill
2010-02,ETRX-EU,0.011471,0.03192,0.640628,20906371061,239818239,7513168267,2026-09-03,backfill
2010-02,ETRX-EU-87,0.023002,0.025154,0.085547,1858080248,42739536,1699127108,2026-08-24,backfill
2010-02,ETRX-IN,0.032393,0.08885,0.635418,1917795507,62123591,699194111,2026-09-03,backfill
2010-02,ETRX-JP,0.017083,0.029798,0.426706,8317604443,142092105,4768436498,2026-09-03,backfill
2010-02,ETRX-KR,0.014258,0.03188,0.552767,2943442058,41967082,1316405566,2026-09-03,backfill
2010-02,ETRX-MX,0.000898,0.031415,0.971405,15692360143,14096432,448719129,2026-09-03,backfill
2010-02,ETRX-MX-87,0.000783,0.025112,0.968801,2994657896,2346225,93431202,2026-08-24,backfill
2010-02,ETRX-PHARMA,2e-06,0.048679,0.999957,4291055584,8933,183508,2026-08-24,backfill
2010-02,ETRX-STEEL,0.006195,0.040604,0.847435,3045067571,18863378,464569912,2026-08-24,backfill
2010-02,ETRX-TW,0.018652,0.049016,0.61948,2077804184,38754655,790645243,2026-09-03,backfill
2010-02,ETRX-US,0.01397,0.047744,0.707399,127892938275,1786668552,37421556556,2026-08-24,backfill
2010-02,ETRX-US-INCL,0.013579,0.046738,0.709459,132304934846,1796614075,38439961530,2026-08-24,backfill
2010-02,ETRX-VN,0.097151,0.143278,0.321937,1050287278,102036847,712160828,2026-09-03,backfill
2010-03,ETRX-APPAREL,0.12093,0.159116,0.239987,5194146074,628130500,3947619334,2026-08-24,backfill
2010-03,ETRX-CA,0.000486,0.009876,0.950745,23274339735,11321521,1146368173,2026-09-03,backfill
2010-03,ETRX-CA-44,0.006276,0.099043,0.936637,515717162,3236461,32677417,2026-08-24,backfill
2010-03,ETRX-CA-76,8.5e-05,0.032888,0.997428,638577638,54011,1642262,2026-08-24,backfill
2010-03,ETRX-CA-87,0.000301,0.025906,0.988392,4248210881,1277514,49313631,2026-08-24,backfill
2010-03,ETRX-CN,0.029826,0.071528,0.583019,23968489973,714878517,9994394422,2026-09-03,backfill
2010-03,ETRX-CN-84,0.003636,0.032804,0.889162,5840859060,21236816,647386536,2026-08-24,backfill
2010-03,ETRX-CN-85,0.010188,0.034078,0.70103,6200062845,63168258,1853632669,2026-08-24,backfill
2010-03,ETRX-CN-95,0.009521,0.047048,0.797634,1324416292,12609717,268016626,2026-08-24,backfill
2010-03,ETRX-EU,0.011402,0.031459,0.637569,26108359569,297682467,9462477319,2026-09-03,backfill
2010-03,ETRX-EU-87,0.023112,0.025168,0.081664,2644519620,61120916,2428558262,2026-08-24,backfill
2010-03,ETRX-IN,0.028916,0.07447,0.611715,2429535440,70251785,943352893,2026-09-03,backfill
2010-03,ETRX-JP,0.017531,0.029626,0.408274,10095752131,176983591,5973917238,2026-09-03,backfill
2010-03,ETRX-KR,0.014502,0.032639,0.555692,3521159570,51063362,1564478048,2026-09-03,backfill
2010-03,ETRX-MX,0.000788,0.027292,0.971139,19082181890,15030573,550734933,2026-09-03,backfill
2010-03,ETRX-MX-87,0.000762,0.025164,0.969728,3593970597,2737727,108794977,2026-08-24,backfill
2010-03,ETRX-PHARMA,1e-06,0.043325,0.999986,5257874740,3257,75176,2026-08-24,backfill
2010-03,ETRX-STEEL,0.005617,0.038621,0.854553,3923038730,22037222,570595688,2026-08-24,backfill
