data_month,cty_code,cty_name,chapter,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val
2010-01,5520,VIETNAM,01,0.0,,1.0,5125,0,0
2010-01,5520,VIETNAM,03,5.5e-05,0.058714,0.999061,42359704,2336,39786
2010-01,5520,VIETNAM,04,0.008575,0.008575,0.0,1833883,15725,1833883
2010-01,5520,VIETNAM,05,0.0,,1.0,2016,0,0
2010-01,5520,VIETNAM,06,0.035892,0.047293,0.241082,77650,2787,58930
2010-01,5520,VIETNAM,07,0.110361,0.110361,0.0,140965,15557,140965
2010-01,5520,VIETNAM,08,9.2e-05,0.018084,0.994898,19824212,1829,101137
2010-01,5520,VIETNAM,09,0.000138,0.019705,0.99299,36267886,5010,254248
2010-01,5520,VIETNAM,10,0.02038,0.02038,0.0,775171,15798,775171
2010-01,5520,VIETNAM,11,0.017734,0.057195,0.689938,28533,506,8847
2010-01,5520,VIETNAM,12,0.000466,0.002519,0.815154,156752,73,28975
2010-01,5520,VIETNAM,13,0.0,,1.0,2303,0,0
2010-01,5520,VIETNAM,14,0.0,,1.0,90434,0,0
2010-01,5520,VIETNAM,15,0.032019,0.032019,0.0,12524,401,12524
2010-01,5520,VIETNAM,16,0.062819,0.12151,0.48301,18993466,1193155,9819425
2010-01,5520,VIETNAM,17,0.054826,0.054826,0.0,291666,15991,291666
2010-01,5520,VIETNAM,18,0.012707,0.060013,0.788256,89240,1134,18896
2010-01,5520,VIETNAM,19,0.028025,0.058278,0.519111,1824329,51127,877299
2010-01,5520,VIETNAM,20,0.068028,0.08792,0.226254,1972586,134191,1526281
2010-01,5520,VIETNAM,21,0.05758,0.082284,0.300222,1050183,60470,734895
2010-01,5520,VIETNAM,22,0.00136,0.001907,0.287052,46333,63,33033
2010-01,5520,VIETNAM,23,0.014019,0.014019,0.0,24538,344,24538
2010-01,5520,VIETNAM,25,0.0,,1.0,2997,0,0
2010-01,5520,VIETNAM,27,0.001492,0.001492,0.0,29772506,44432,29772506
2010-01,5520,VIETNAM,29,0.02266,0.035154,0.355403,1389409,31484,895609
2010-01,5520,VIETNAM,30,0.0,,1.0,22285,0,0
2010-01,5520,VIETNAM,32,0.057247,0.057247,0.0,943721,54025,943721
2010-01,5520,VIETNAM,33,0.01917,0.023988,0.20086,28378,544,22678
2010-01,5520,VIETNAM,34,0.000138,0.038273,0.996385,9049196,1252,32712
2010-01,5520,VIETNAM,35,0.041699,0.041699,0.0,170938,7128,170938
2010-01,5520,VIETNAM,38,0.040598,0.040598,0.0,96261,3908,96261
2010-01,5520,VIETNAM,39,0.039448,0.04034,0.022104,7586690,299280,7418991
2010-01,5520,VIETNAM,40,0.018014,0.036042,0.500194,13386737,241149,6690774
2010-01,5520,VIETNAM,42,0.109641,0.124372,0.118441,22422851,2458470,19767070
2010-01,5520,VIETNAM,43,0.008273,0.031218,0.734988,146620,1213,38856
2010-01,5520,VIETNAM,44,0.015179,0.037491,0.595115,3231957,49059,1308571
2010-01,5520,VIETNAM,45,0.0,,1.0,30649,0,0
2010-01,5520,VIETNAM,46,0.050967,0.05874,0.132332,1463468,74588,1269804
2010-01,5520,VIETNAM,48,0.0,,1.0,2059683,0,0
2010-01,5520,VIETNAM,49,0.0,,1.0,67135,0,0
2010-01,5520,VIETNAM,50,0.0,,1.0,44713,0,0
